code,name,ktype,fq,tdate,open,close,high,low,cjl,cje,zf,zdf,zde,hsl
"股票代码","股票名称","K线类别","复权信息，除沪深京A股、B股、港股外，其余复权值默认为前复权","交易时间","开盘价","收盘价","最高价","最低价","成交量","成交额","振幅","涨跌幅","涨跌额","换手率"
000001,平安银行,101,1,2024-01-02,9.39,9.21,9.42,9.21,1158370.0,1075740032,2.24,-1.92,-0.18,0.6
000001,平安银行,101,1,2024-01-03,9.19,9.2,9.22,9.15,733610.0,673673984,0.76,-0.11,-0.01,0.38
000001,平安银行,101,1,2024-01-04,9.19,9.11,9.19,9.08,864194.0,787470016,1.2,-0.98,-0.09,0.45
000001,平安银行,101,1,2024-01-05,9.1,9.27,9.44,9.07,1991620.0,1852659968,4.06,1.76,0.16,1.03
000001,平安银行,101,1,2024-01-08,9.23,9.15,9.3,9.11,1121160.0,1029009984,2.05,-1.29,-0.12,0.58
000001,平安银行,101,1,2024-01-09,9.16,9.18,9.19,9.09,766194.0,700376000,1.09,0.33,0.03,0.39
000001,平安银行,101,1,2024-01-10,9.16,9.09,9.19,9.09,858621.0,783771008,1.09,-0.98,-0.09,0.44
000001,平安银行,101,1,2024-01-11,9.08,9.17,9.22,9.03,934686.0,853889984,2.09,0.88,0.08,0.48
000001,平安银行,101,1,2024-01-12,9.13,9.19,9.27,9.11,772582.0,711017984,1.74,0.22,0.02,0.4
000001,平安银行,101,1,2024-01-15,9.16,9.21,9.29,9.13,745133.0,685950976,1.74,0.22,0.02,0.38
000001,平安银行,101,1,2024-01-16,9.19,9.34,9.35,9.16,1438310.0,1334470016,2.06,1.41,0.13,0.74
000001,平安银行,101,1,2024-01-17,9.33,9.23,9.39,9.23,1482300.0,1380729984,1.71,-1.18,-0.11,0.76
000001,平安银行,101,1,2024-01-18,9.21,9.2,9.24,9.0,1755130.0,1597849984,2.6,-0.33,-0.03,0.9
000001,平安银行,101,1,2024-01-19,9.16,9.17,9.2,9.1,963981.0,881865024,1.09,-0.33,-0.03,0.5
000001,平安银行,101,1,2024-01-22,9.16,9.1,9.26,9.04,1580320.0,1449859968,2.4,-0.76,-0.07,0.81
000001,平安银行,101,1,2024-01-23,9.05,9.16,9.18,8.96,1135540.0,1030899968,2.42,0.66,0.06,0.59
000001,平安银行,101,1,2024-01-24,9.23,9.33,9.34,9.07,1759120.0,1620099968,2.95,1.86,0.17,0.91
000001,平安银行,101,1,2024-01-25,9.33,9.5,9.54,9.27,2162510.0,2037650048,2.89,1.82,0.17,1.11
000001,平安银行,101,1,2024-01-26,9.47,9.62,9.67,9.44,2272290.0,2172800000,2.42,1.26,0.12,1.17
000001,平安银行,101,1,2024-01-29,9.69,9.7,9.88,9.58,2376250.0,2312169984,3.12,0.83,0.08,1.22
000001,平安银行,101,1,2024-01-30,9.61,9.5,9.7,9.49,1579120.0,1515160064,2.16,-2.06,-0.2,0.81
000001,平安银行,101,1,2024-01-31,9.46,9.46,9.56,9.38,1357220.0,1286860032,1.89,-0.42,-0.04,0.7
000001,平安银行,101,1,2024-02-01,9.41,9.41,9.48,9.34,1055260.0,993481984,1.48,-0.53,-0.05,0.54
000001,平安银行,101,1,2024-02-02,9.42,9.27,9.47,9.07,1634210.0,1520610048,4.25,-1.49,-0.14,0.84
000001,平安银行,101,1,2024-02-05,9.19,9.38,9.43,9.11,1803590.0,1674569984,3.45,1.19,0.11,0.93
000001,平安银行,101,1,2024-02-06,9.3,9.68,9.68,9.29,1995410.0,1900320000,4.16,3.2,0.3,1.03
000001,平安银行,101,1,2024-02-07,9.62,9.61,9.67,9.48,2062020.0,1975440000,1.96,-0.72,-0.07,1.06
000001,平安银行,101,1,2024-02-08,9.58,9.67,9.67,9.52,1656810.0,1593510016,1.56,0.62,0.06,0.85
000001,平安银行,101,1,2024-02-19,9.76,9.81,9.81,9.65,1605240.0,1564089984,1.65,1.45,0.14,0.83
000001,平安银行,101,1,2024-02-20,9.79,9.82,9.84,9.73,1123560.0,1098989952,1.12,0.1,0.01,0.58
