code,name,ktype,fq,tdate,open,close,high,low,cjl,cje,zf,zdf,zde,hsl
"股票代码","股票名称","K线类别","复权信息，除沪深京A股、B股、港股外，其余复权值默认为前复权","交易时间","开盘价","收盘价","最高价","最低价","成交量","成交额","振幅","涨跌幅","涨跌额","换手率"
"000001","平安银行","101","1","2024-01-02","7.83","7.65","7.86","7.65","1158370.0","1075740032","2.68","-2.3","-0.18","0.6"
"000001","平安银行","101","1","2024-01-03","7.63","7.64","7.66","7.59","733610.0","673673984","0.92","-0.13","-0.01","0.38"
"000001","平安银行","101","1","2024-01-04","7.63","7.55","7.63","7.52","864194.0","787470016","1.44","-1.18","-0.09","0.45"
"000001","平安银行","101","1","2024-01-05","7.54","7.71","7.88","7.51","1991620.0","1852659968","4.9","2.12","0.16","1.03"
"000001","平安银行","101","1","2024-01-08","7.67","7.59","7.74","7.55","1121160.0","1029009984","2.46","-1.56","-0.12","0.58"
"000001","平安银行","101","1","2024-01-09","7.6","7.62","7.63","7.53","766194.0","700376000","1.32","0.4","0.03","0.39"
"000001","平安银行","101","1","2024-01-10","7.6","7.53","7.63","7.53","858621.0","783771008","1.31","-1.18","-0.09","0.44"
"000001","平安银行","101","1","2024-01-11","7.52","7.61","7.66","7.47","934686.0","853889984","2.52","1.06","0.08","0.48"
"000001","平安银行","101","1","2024-01-12","7.57","7.63","7.71","7.55","772582.0","711017984","2.1","0.26","0.02","0.4"
"000001","平安银行","101","1","2024-01-15","7.6","7.65","7.73","7.57","745133.0","685950976","2.1","0.26","0.02","0.38"
"000001","平安银行","101","1","2024-01-16","7.63","7.78","7.79","7.6","1438310.0","1334470016","2.48","1.7","0.13","0.74"
"000001","平安银行","101","1","2024-01-17","7.77","7.67","7.83","7.67","1482300.0","1380729984","2.06","-1.41","-0.11","0.76"
"000001","平安银行","101","1","2024-01-18","7.65","7.64","7.68","7.44","1755130.0","1597849984","3.13","-0.39","-0.03","0.9"
"000001","平安银行","101","1","2024-01-19","7.6","7.61","7.64","7.54","963981.0","881865024","1.31","-0.39","-0.03","0.5"
"000001","平安银行","101","1","2024-01-22","7.6","7.54","7.7","7.48","1580320.0","1449859968","2.89","-0.92","-0.07","0.81"
"000001","平安银行","101","1","2024-01-23","7.49","7.6","7.62","7.4","1135540.0","1030899968","2.92","0.8","0.06","0.59"
"000001","平安银行","101","1","2024-01-24","7.67","7.77","7.78","7.51","1759120.0","1620099968","3.55","2.24","0.17","0.91"
"000001","平安银行","101","1","2024-01-25","7.77","7.94","7.98","7.71","2162510.0","2037650048","3.47","2.19","0.17","1.11"
"000001","平安银行","101","1","2024-01-26","7.91","8.06","8.11","7.88","2272290.0","2172800000","2.9","1.51","0.12","1.17"
"000001","平安银行","101","1","2024-01-29","8.13","8.14","8.32","8.02","2376250.0","2312169984","3.72","0.99","0.08","1.22"
"000001","平安银行","101","1","2024-01-30","8.05","7.94","8.14","7.93","1579120.0","1515160064","2.58","-2.46","-0.2","0.81"
"000001","平安银行","101","1","2024-01-31","7.9","7.9","8.0","7.82","1357220.0","1286860032","2.27","-0.5","-0.04","0.7"
"000001","平安银行","101","1","2024-02-01","7.85","7.85","7.92","7.78","1055260.0","993481984","1.77","-0.63","-0.05","0.54"
"000001","平安银行","101","1","2024-02-02","7.86","7.71","7.91","7.51","1634210.0","1520610048","5.1","-1.78","-0.14","0.84"
"000001","平安银行","101","1","2024-02-05","7.63","7.82","7.87","7.55","1803590.0","1674569984","4.15","1.43","0.11","0.93"
"000001","平安银行","101","1","2024-02-06","7.74","8.12","8.12","7.73","1995410.0","1900320000","4.99","3.84","0.3","1.03"
"000001","平安银行","101","1","2024-02-07","8.06","8.05","8.11","7.92","2062020.0","1975440000","2.34","-0.86","-0.07","1.06"
"000001","平安银行","101","1","2024-02-08","8.02","8.11","8.11","7.96","1656810.0","1593510016","1.86","0.75","0.06","0.85"
"000001","平安银行","101","1","2024-02-19","8.2","8.25","8.25","8.09","1605240.0","1564089984","1.97","1.73","0.14","0.83"
"000001","平安银行","101","1","2024-02-20","8.23","8.26","8.28","8.17","1123560.0","1098989952","1.33","0.12","0.01","0.58"
"000001","平安银行","101","1","2024-02-21","8.22","9.24","9.24","8.21","5055280.0","5295260160","12.47","11.86","0.98","2.61"
"000001","平安银行","101","1","2024-02-22","9.09","9.34","9.35","9.06","4922320.0","5307740160","3.14","1.08","0.1","2.54"
"000001","平安银行","101","1","2024-02-23","9.32","9.29","9.68","9.28","3567480.0","3917319936","4.28","-0.54","-0.05","1.84"
"000001","平安银行","101","1","2024-02-26","9.22","8.97","9.32","8.94","2862610.0","3048209920","4.09","-3.44","-0.32","1.48"
"000001","平安银行","101","1","2024-02-27","8.93","8.94","9.04","8.9","1981900.0","2083030016","1.56","-0.33","-0.03","1.02"
"000001","平安银行","101","1","2024-02-28","8.95","8.93","9.14","8.84","3082690.0","3253339904","3.36","-0.11","-0.01","1.59"
"000001","平安银行","101","1","2024-02-29","8.86","9.03","9.03","8.85","1845340.0","1936019968","2.02","1.12","0.1","0.95"
"000001","平安银行","101","1","2024-03-01","9.03","8.93","9.04","8.87","1828100.0","1917689984","1.88","-1.11","-0.1","0.94"
"000001","平安银行","101","1","2024-03-04","8.89","8.77","8.94","8.76","1655930.0","1719559936","2.02","-1.79","-0.16","0.85"
"000001","平安银行","101","1","2024-03-05","8.74","8.87","8.91","8.7","1817320.0","1889139968","2.39","1.14","0.1","0.94"
"000001","平安银行","101","1","2024-03-06","8.84","8.77","8.89","8.77","1345640.0","1396940032","1.35","-1.13","-0.1","0.69"
"000001","平安银行","101","1","2024-03-07","8.77","8.82","9.08","8.77","2016170.0","2109590016","3.53","0.57","0.05","1.04"
"000001","平安银行","101","1","2024-03-08","8.79","8.82","8.88","8.74","1113970.0","1154489984","1.59","0.0","0.0","0.57"
"000001","平安银行","101","1","2024-03-11","8.82","8.91","8.91","8.78","1210670.0","1260210048","1.47","1.02","0.09","0.62"
"000001","平安银行","101","1","2024-03-12","8.92","9.0","9.03","8.85","1641260.0","1722000000","2.02","1.01","0.09","0.85"
"000001","平安银行","101","1","2024-03-13","8.97","8.77","8.99","8.74","1768040.0","1834649984","2.78","-2.56","-0.23","0.91"
"000001","平安银行","101","1","2024-03-14","8.74","8.67","8.82","8.64","1409400.0","1448499968","2.05","-1.14","-0.1","0.73"
"000001","平安银行","101","1","2024-03-15","8.99","9.04","9.19","8.94","3750210.0","3973799936","2.88","4.27","0.37","1.93"
"000001","平安银行","101","1","2024-03-18","9.0","8.98","9.05","8.93","1671400.0","1761250048","1.33","-0.66","-0.06","0.86"
"000001","平安银行","101","1","2024-03-19","8.97","8.84","8.98","8.83","1293220.0","1351069952","1.67","-1.56","-0.14","0.67"
"000001","平安银行","101","1","2024-03-20","8.82","8.89","8.91","8.81","872663.0","910278976","1.13","0.57","0.05","0.45"
"000001","平安银行","101","1","2024-03-21","8.89","8.91","8.96","8.86","864466.0","905422016","1.12","0.22","0.02","0.45"
"000001","平安银行","101","1","2024-03-22","8.89","8.8","8.89","8.75","1028140.0","1065539968","1.57","-1.23","-0.11","0.53"
"000001","平安银行","101","1","2024-03-25","8.79","8.84","8.93","8.76","953202.0","993304000","1.93","0.45","0.04","0.49"
"000001","平安银行","101","1","2024-03-26","8.89","9.04","9.1","8.86","1740020.0","1835379968","2.71","2.26","0.2","0.9"
"000001","平安银行","101","1","2024-03-27","9.0","8.97","9.07","8.95","1274140.0","1347399936","1.33","-0.77","-0.07","0.66"
"000001","平安银行","101","1","2024-03-28","8.95","8.93","9.01","8.82","1302190.0","1362979968","2.12","-0.45","-0.04","0.67"
"000001","平安银行","101","1","2024-03-29","8.89","8.96","9.01","8.87","872759.0","917331968","1.57","0.34","0.03","0.45"
"000001","平安银行","101","1","2024-04-01","8.96","9.08","9.09","8.95","1191090.0","1261769984","1.56","1.34","0.12","0.61"
"000001","平安银行","101","1","2024-04-02","9.07","8.99","9.12","8.97","1085460.0","1149699968","1.65","-0.99","-0.09","0.56"
"000001","平安银行","101","1","2024-04-03","8.97","8.9","8.99","8.86","981846.0","1028649984","1.45","-1.0","-0.09","0.51"
"000001","平安银行","101","1","2024-04-08","8.86","8.87","8.93","8.81","906361.0","945289984","1.35","-0.34","-0.03","0.47"
"000001","平安银行","101","1","2024-04-09","8.87","8.84","8.91","8.8","857157.0","891468992","1.24","-0.34","-0.03","0.44"
"000001","平安银行","101","1","2024-04-10","8.82","8.72","8.85","8.71","1246390.0","1288700032","1.58","-1.36","-0.12","0.64"
"000001","平安银行","101","1","2024-04-11","8.68","8.69","8.73","8.56","1010210.0","1030819968","1.95","-0.34","-0.03","0.52"
"000001","平安银行","101","1","2024-04-12","8.66","8.5","8.71","8.48","1305450.0","1322009984","2.65","-2.19","-0.19","0.67"
"000001","平安银行","101","1","2024-04-15","8.51","8.73","8.76","8.5","1453200.0","1486329984","3.06","2.71","0.23","0.75"
"000001","平安银行","101","1","2024-04-16","8.72","8.72","8.83","8.66","1478040.0","1523139968","1.95","-0.11","-0.01","0.76"
"000001","平安银行","101","1","2024-04-17","8.7","9.06","9.07","8.65","2232640.0","2337580032","4.82","3.9","0.34","1.15"
"000001","平安银行","101","1","2024-04-18","9.02","9.24","9.47","9.0","3165910.0","3427340032","5.19","1.99","0.18","1.63"
"000001","平安银行","101","1","2024-04-19","9.15","9.13","9.26","9.1","1457680.0","1562380032","1.73","-1.19","-0.11","0.75"
"000001","平安银行","101","1","2024-04-22","9.08","8.94","9.25","8.89","2009820.0","2125720064","3.94","-2.08","-0.19","1.04"
"000001","平安银行","101","1","2024-04-23","8.95","8.98","9.09","8.9","1240030.0","1308870016","2.13","0.45","0.04","0.64"
"000001","平安银行","101","1","2024-04-24","8.96","8.97","9.01","8.9","941568.0","989094016","1.22","-0.11","-0.01","0.49"
"000001","平安银行","101","1","2024-04-25","8.94","9.05","9.06","8.92","1113810.0","1176300032","1.56","0.89","0.08","0.57"
"000001","平安银行","101","1","2024-04-26","9.03","9.04","9.11","8.92","1607630.0","1698579968","2.1","-0.11","-0.01","0.83"
"000001","平安银行","101","1","2024-04-29","9.0","9.25","9.34","8.96","2169180.0","2337349888","4.2","2.32","0.21","1.12"
